CODE_ISO;GMDNR;GMDNAME;AREA_HA;X_CNTR;Y_CNTR;ACODE;AKAT;ANAME;E_CNTR;N_CNTR
CH;2216;Pierrafortscha;506;580700;181800;2196;4;Fribourg;2580700;1181800
CH;2217;Ponthaux;591;569600;185000;2196;4;Fribourg;2569600;1185000
CH;2220;Le Mouret;1856;580100;177800;2196;4;Fribourg;2580100;1177800
CH;2221;Prez-vers-Noréaz;570;567700;181700;2196;4;Fribourg;2567700;1181700
CH;2225;Senèdes;51;577400;176800;2196;4;Fribourg;2577400;1176800
CH;2226;Treyvaux;1140;577000;175100;2196;4;Fribourg;2577000;1175100
CH;2228;Villars-sur-Glâne;548;577000;182200;2196;2;Fribourg;2577000;1182200
CH;223;Neftenbach;1507;692500;264900;230;2;Winterthur;2692500;1264900
CH;2230;Villarsel-sur-Marly;139;579800;178900;2196;4;Fribourg;2579800;1178900
CH;2233;Hauterive (FR);1197;573800;178900;2196;4;Fribourg;2573800;1178900
CH;2234;La Brillaz;1030;566800;178700;2196;4;Fribourg;2566800;1178700
CH;2235;La Sonnaz;696;576800;187000;2196;4;Fribourg;2576800;1187000
CH;2236;Gibloux;3627;571500;174500;2196;4;Fribourg;2571500;1174500
CH;224;Pfungen;499;690500;263400;261;4;Zürich;2690500;1263400
CH;225;Rickenbach (ZH);602;702200;267700;230;4;Winterthur;2702200;1267700
CH;2250;Courgevaux;338;575100;195000;92275;6;Murten;2575100;1195000
CH;226;Schlatt (ZH);897;704700;258400;230;4;Winterthur;2704700;1258400
CH;2260;Gempenach;167;581700;198900;351;4;Bern;2581700;1198900
CH;227;Seuzach;756;697400;265800;230;4;Winterthur;2697400;1265800
CH;2271;Meyriez;185;574800;197000;92275;6;Murten;2574800;1197000
CH;2272;Misery-Courtion;1138;571600;189100;2196;4;Fribourg;2571600;1189100
CH;2274;Muntelier;250;576000;198300;92275;6;Murten;2576000;1198300
CH;2275;Murten;2695;575600;197400;92275;6;Murten;2575600;1197400
CH;2278;Ulmiz;284;581900;197900;351;4;Bern;2581900;1197900
CH;2295;Bösingen;1432;584000;193500;351;4;Bern;2584000;1193500
CH;23;Berg am Irchel;701;687200;269400;261;4;Zürich;2687200;1269400
CH;230;Winterthur;6807;697200;261700;230;1;Winterthur;2697200;1261700
CH;2307;Tentlingen;361;581600;180000;2196;4;Fribourg;2581600;1180000
CH;2308;Ueberstorf;1611;590300;190400;351;4;Bern;2590300;1190400
CH;2309;Wünnewil-Flamatt;1327;587700;191500;351;4;Bern;2587700;1191500
CH;2407;Oensingen;1210;621100;237800;92407;6;Oensingen;2621100;1237800
CH;241;Aesch (ZH);524;675500;243300;261;4;Zürich;2675500;1243300
CH;242;Birmensdorf (ZH);1142;675500;245400;261;4;Zürich;2675500;1245400
CH;243;Dietikon;934;672500;251000;261;2;Zürich;2672500;1251000
CH;244;Geroldswil;193;673400;252600;261;2;Zürich;2673400;1252600
CH;245;Oberengstringen;215;677300;251400;261;2;Zürich;2677300;1251400
CH;246;Oetwil an der Limmat;277;672200;253500;261;2;Zürich;2672200;1253500
CH;247;Schlieren;659;676200;250000;261;2;Zürich;2676200;1250000
CH;2471;Bättwil;167;605400;259900;T_2701;4;Basel (CH);2605400;1259900
CH;2472;Büren (SO);623;617500;255400;T_2701;4;Basel (CH);2617500;1255400
CH;2473;Dornach;579;613300;258800;T_2701;2;Basel (CH);2613300;1258800
CH;2474;Gempen;599;616600;258300;T_2701;4;Basel (CH);2616600;1258300
CH;2475;Hochwald;835;615200;256200;T_2701;4;Basel (CH);2615200;1256200
CH;2476;Hofstetten-Flüh;752;605800;258300;T_2701;4;Basel (CH);2605800;1258300
CH;2477;Metzerlen-Mariastein;848;602000;257300;T_2701;4;Basel (CH);2602000;1257300
CH;2478;Nuglar-St. Pantaleon;634;619200;257900;T_2701;4;Basel (CH);2619200;1257900
CH;2479;Rodersdorf;535;601400;258900;T_2701;4;Basel (CH);2601400;1258900
CH;248;Uitikon;438;676600;247200;261;4;Zürich;2676600;1247200
CH;2480;Seewen;1631;616600;253700;T_2701;4;Basel (CH);2616600;1253700
CH;2481;Witterswil;267;606300;259400;T_2701;4;Basel (CH);2606300;1259400
CH;249;Unterengstringen;334;676300;251600;261;2;Zürich;2676300;1251600
CH;2491;Hauenstein-Ifenthal;535;631500;247100;2581;4;Olten – Zofingen;2631500;1247100
CH;2493;Lostorf;1325;638400;248200;2581;4;Olten – Zofingen;2638400;1248200
CH;2495;Niedergösgen;432;641700;247000;92583;6;Schönenwerd;2641700;1247000
CH;2497;Obergösgen;363;638800;246100;2581;2;Olten – Zofingen;2638800;1246100
CH;250;Urdorf;758;674400;248400;261;2;Zürich;2674400;1248400
CH;2500;Trimbach;760;635000;245900;2581;2;Olten – Zofingen;2635000;1245900
CH;2501;Winznau;394;637400;246100;2581;2;Olten – Zofingen;2637400;1246100
CH;2502;Wisen (SO);479;633800;249200;2581;4;Olten – Zofingen;2633800;1249200
CH;2503;Erlinsbach (SO);887;642900;249700;4001;2;Aarau;2642900;1249700
CH;251;Weiningen (ZH);537;675200;252600;261;2;Zürich;2675200;1252600
CH;2513;Biberist;1225;609100;225700;2601;3;Solothurn;2609100;1225700
CH;2516;Deitingen;760;613800;229300;2601;4;Solothurn;2613800;1229300
CH;2517;Derendingen;562;611200;227200;2601;2;Solothurn;2611200;1227200
CH;2519;Gerlafingen;185;610100;224400;2601;3;Solothurn;2610100;1224400
CH;2520;Halten;185;612500;224300;2601;4;Solothurn;2612500;1224300
CH;2524;Hüniken;102;614900;226000;2601;4;Solothurn;2614900;1226000
CH;2526;Lohn-Ammannsegg;448;606500;224300;2601;4;Solothurn;2606500;1224300
CH;2527;Luterbach;452;611200;229400;2601;4;Solothurn;2611200;1229400
CH;2528;Obergerlafingen;151;611100;223500;2601;4;Solothurn;2611100;1223500
CH;2529;Oekingen;239;612600;225400;2601;4;Solothurn;2612600;1225400
CH;2532;Subingen;627;613500;227300;2601;2;Solothurn;2613500;1227300
CH;2534;Zuchwil;463;608300;227900;2601;2;Solothurn;2608300;1227900
CH;2542;Bellach;529;604000;229000;2601;2;Solothurn;2604000;1229000
CH;2543;Bettlach;1219;598900;228000;2546;2;Grenchen;2598900;1228000
CH;2544;Feldbrunnen-St. Niklaus;251;608900;230000;2601;2;Solothurn;2608900;1230000
CH;2546;Grenchen;2603;596700;226900;2546;1;Grenchen;2596700;1226900
CH;2547;Günsberg;526;610500;234100;2601;4;Solothurn;2610500;1234100
CH;2548;Hubersdorf;135;611400;232900;2601;4;Solothurn;2611400;1232900
CH;2550;Langendorf;195;605800;230100;2601;2;Solothurn;2605800;1230100
CH;2551;Lommiswil;576;602500;230300;2601;4;Solothurn;2602500;1230300
CH;2553;Oberdorf (SO);1191;604900;231000;2601;2;Solothurn;2604900;1231000
CH;2554;Riedholz;715;609600;230900;2601;4;Solothurn;2609600;1230900
CH;2555;Rüttenen;877;607000;231100;2601;4;Solothurn;2607000;1231100
CH;2571;Boningen;276;631600;239800;2581;4;Olten – Zofingen;2631600;1239800
CH;2572;Däniken;543;641100;245100;92583;6;Schönenwerd;2641100;1245100
CH;2573;Dulliken;604;638300;244300;2581;2;Olten – Zofingen;2638300;1244300
CH;2574;Eppenberg-Wöschnau;181;644200;247400;4001;2;Aarau;2644200;1247400
CH;2576;Gretzenbach;583;642200;245300;92583;6;Schönenwerd;2642200;1245300
CH;2579;Hägendorf;1394;630500;242800;2581;2;Olten – Zofingen;2630500;1242800
CH;2580;Kappel (SO);510;631000;241500;2581;2;Olten – Zofingen;2631000;1241500
CH;2581;Olten;1149;634700;244700;2581;1;Olten – Zofingen;2634700;1244700
CH;2582;Rickenbach (SO);276;631500;243500;2581;2;Olten – Zofingen;2631500;1243500
CH;2583;Schönenwerd;371;642800;246900;92583;6;Schönenwerd;2642800;1246900
CH;2584;Starrkirch-Wil;185;636800;244700;2581;2;Olten – Zofingen;2636800;1244700
CH;2586;Wangen bei Olten;696;632500;243900;2581;2;Olten – Zofingen;2632500;1243900
CH;2601;Solothurn;628;606900;228800;2601;1;Solothurn;2606900;1228800
CH;261;Zürich;9188;683100;247100;261;1;Zürich;2683100;1247100
CH;2611;Bärschwil;1119;602600;247900;T_2701;4;Basel (CH);2602600;1247900
CH;2613;Breitenbach;680;607900;250700;T_2701;4;Basel (CH);2607900;1250700
CH;2614;Büsserach;755;607600;248900;T_2701;4;Basel (CH);2607600;1248900
CH;2616;Fehren;148;610600;249500;T_2701;4;Basel (CH);2610600;1249500
CH;2618;Himmelried;603;612000;252300;T_2701;4;Basel (CH);2612000;1252300
CH;2619;Kleinlützel;1632;598400;252800;T_2701;4;Basel (CH);2598400;1252800
CH;2620;Meltingen;576;611400;248600;T_2701;4;Basel (CH);2611400;1248600
CH;2621;Nunningen;1031;613600;249200;T_2701;4;Basel (CH);2613600;1249200
CH;2622;Zullwil;366;612200;248900;T_2701;4;Basel (CH);2612200;1248900
CH;27;Feuerthalen;248;690400;283000;T_2939;2;Schaffhausen (CH);2690400;1283000
CH;2701;Basel;2385;611300;267600;T_2701;1;Basel (CH);2611300;1267600
CH;2702;Bettingen;223;617100;268900;T_2701;2;Basel (CH);2617100;1268900
CH;2703;Riehen;1087;615300;269500;T_2701;2;Basel (CH);2615300;1269500
CH;2761;Aesch (BL);740;611900;257500;T_2701;2;Basel (CH);2611900;1257500
CH;2762;Allschwil;889;607300;266700;T_2701;2;Basel (CH);2607300;1266700
CH;2763;Arlesheim;693;613700;260400;T_2701;2;Basel (CH);2613700;1260400
CH;2764;Biel-Benken;412;606700;261800;T_2701;4;Basel (CH);2606700;1261800
CH;2765;Binningen;446;610000;265200;T_2701;2;Basel (CH);2610000;1265200
CH;2766;Birsfelden;251;613900;266900;T_2701;2;Basel (CH);2613900;1266900
CH;2767;Bottmingen;299;610100;263600;T_2701;2;Basel (CH);2610100;1263600
CH;2768;Ettingen;632;608000;258900;T_2701;4;Basel (CH);2608000;1258900
CH;2769;Münchenstein;719;613400;262500;T_2701;2;Basel (CH);2613400;1262500
CH;2770;Muttenz;1665;615100;264300;T_2701;2;Basel (CH);2615100;1264300
CH;2771;Oberwil (BL);789;608900;262600;T_2701;2;Basel (CH);2608900;1262600
CH;2772;Pfeffingen;489;611300;256500;T_2701;2;Basel (CH);2611300;1256500
CH;2773;Reinach (BL);697;611400;260300;T_2701;2;Basel (CH);2611400;1260300
CH;2774;Schönenbuch;135;604700;265200;T_2701;4;Basel (CH);2604700;1265200
CH;2775;Therwil;766;608700;260900;T_2701;2;Basel (CH);2608700;1260900
CH;2781;Blauen;712;606100;255500;T_2701;4;Basel (CH);2606100;1255500
CH;2782;Brislach;942;607900;251900;T_2701;4;Basel (CH);2607900;1251900
CH;2783;Burg im Leimental;284;600200;256300;T_2701;4;Basel (CH);2600200;1256300
CH;2784;Dittingen;675;604500;254400;T_2701;4;Basel (CH);2604500;1254400
CH;2785;Duggingen;586;612500;255800;T_2701;4;Basel (CH);2612500;1255800
CH;2786;Grellingen;329;611300;254600;T_2701;4;Basel (CH);2611300;1254600
CH;2787;Laufen;1140;604700;252200;T_2701;4;Basel (CH);2604700;1252200
CH;2789;Nenzlingen;366;609300;255300;T_2701;4;Basel (CH);2609300;1255300
CH;2791;Röschenz;1007;602800;252600;T_2701;4;Basel (CH);2602800;1252600
CH;2792;Wahlen;541;605800;250000;T_2701;4;Basel (CH);2605800;1250000
CH;2793;Zwingen;461;606900;253900;T_2701;4;Basel (CH);2606900;1253900
CH;2821;Arisdorf;1000;624600;262300;T_2701;4;Basel (CH);2624600;1262300
CH;2822;Augst;165;621000;265000;T_2701;3;Basel (CH);2621000;1265000
CH;2823;Bubendorf;1080;622500;255300;T_2701;4;Basel (CH);2622500;1255300
CH;2824;Frenkendorf;459;620900;261400;T_2701;3;Basel (CH);2620900;1261400
CH;2825;Füllinsdorf;462;621900;261700;T_2701;3;Basel (CH);2621900;1261700
CH;2826;Giebenach;134;623100;263600;T_2701;4;Basel (CH);2623100;1263600
CH;2827;Hersberg;166;626000;260200;T_2701;4;Basel (CH);2626000;1260200
CH;2828;Lausen;557;624200;258000;T_2701;3;Basel (CH);2624200;1258000
CH;2829;Liestal;1818;622300;259400;T_2701;3;Basel (CH);2622300;1259400
CH;2830;Lupsingen;311;619300;255100;T_2701;4;Basel (CH);2619300;1255100
CH;2831;Pratteln;1071;619300;263400;T_2701;3;Basel (CH);2619300;1263400
CH;2832;Ramlinsburg;225;624500;255400;T_2701;4;Basel (CH);2624500;1255400
CH;2833;Seltisberg;356;621000;256600;T_2701;4;Basel (CH);2621000;1256600
CH;2834;Ziefen;782;620300;253400;T_2701;4;Basel (CH);2620300;1253400
CH;2842;Böckten;228;629900;257000;T_2701;4;Basel (CH);2629900;1257000
CH;2843;Buckten;200;630700;251100;T_2701;4;Basel (CH);2630700;1251100
CH;2844;Buus;885;632100;261700;T_2701;4;Basel (CH);2632100;1261700
CH;2845;Diepflingen;144;630100;255100;T_2701;4;Basel (CH);2630100;1255100
CH;2846;Gelterkinden;978;631400;257100;T_2701;4;Basel (CH);2631400;1257100
CH;2848;Hemmiken;339;634200;259800;T_2701;4;Basel (CH);2634200;1259800
CH;2849;Itingen;313;626100;257400;T_2701;3;Basel (CH);2626100;1257400
CH;2850;Känerkinden;148;630000;251300;T_2701;4;Basel (CH);2630000;1251300
CH;2853;Maisprach;508;630700;263800;T_2701;4;Basel (CH);2630700;1263800
CH;2854;Nusshof;172;627600;260100;T_2701;4;Basel (CH);2627600;1260100
CH;2856;Ormalingen;693;633000;257700;T_2701;4;Basel (CH);2633000;1257700
CH;2857;Rickenbach (BL);290;631100;259400;T_2701;4;Basel (CH);2631100;1259400
CH;2859;Rümlingen;228;630900;252600;T_2701;4;Basel (CH);2630900;1252600
CH;2860;Rünenberg;497;633600;253600;T_2701;4;Basel (CH);2633600;1253600
CH;2861;Sissach;890;628100;256900;T_2701;4;Basel (CH);2628100;1256900
CH;2862;Tecknau;234;633500;255600;T_2701;4;Basel (CH);2633500;1255600
CH;2863;Tenniken;467;628200;254000;T_2701;4;Basel (CH);2628200;1254000
CH;2864;Thürnen;226;629500;256100;T_2701;4;Basel (CH);2629500;1256100
CH;2865;Wenslingen;592;635600;254400;T_2701;4;Basel (CH);2635600;1254400
CH;2866;Wintersingen;695;629100;260400;T_2701;4;Basel (CH);2629100;1260400
CH;2867;Wittinsburg;320;630400;252900;T_2701;4;Basel (CH);2630400;1252900
CH;2869;Zunzgen;686;627800;255400;T_2701;4;Basel (CH);2627800;1255400
CH;2881;Arboldswil;347;621000;251800;T_2701;4;Basel (CH);2621000;1251800
CH;2882;Bennwil;653;625800;250300;T_2701;4;Basel (CH);2625800;1250300
CH;2883;Bretzwil;733;616100;249700;T_2701;4;Basel (CH);2616100;1249700
CH;2884;Diegten;964;628100;251500;T_2701;4;Basel (CH);2628100;1251500
CH;2886;Hölstein;603;625000;252700;T_2701;4;Basel (CH);2625000;1252700
CH;2887;Lampenberg;401;624200;252800;T_2701;4;Basel (CH);2624200;1252800
CH;2889;Lauwil;730;617900;248800;T_2701;4;Basel (CH);2617900;1248800
CH;2891;Niederdorf;441;623600;250700;T_2701;4;Basel (CH);2623600;1250700
CH;2892;Oberdorf (BL);621;623500;249200;T_2701;4;Basel (CH);2623500;1249200
CH;2893;Reigoldswil;925;619100;249600;T_2701;4;Basel (CH);2619100;1249600
CH;2894;Titterten;371;621000;250200;T_2701;4;Basel (CH);2621000;1250200
CH;29;Flurlingen;241;689400;282000;T_2939;2;Schaffhausen (CH);2689400;1282000
CH;2903;Löhningen;683;683700;284000;T_2939;4;Schaffhausen (CH);2683700;1284000
CH;2914;Büttenhardt;400;691100;290300;T_2939;4;Schaffhausen (CH);2691100;1290300
CH;2915;Dörflingen;582;696100;284800;T_2939;4;Schaffhausen (CH);2696100;1284800
CH;2917;Lohn (SH);487;692400;290200;T_2939;4;Schaffhausen (CH);2692400;1290200
